%%EvolvingGraph directed
i,j,timestamps,paper2,idea,paper1
S.Kamvar,B.Bahmani,2012,kamvar04,pagerank_algebra,bahmani12,
T.Haveliwala,B.Bahmani,2012,kamvar04,pagerank_algebra,bahmani12,
G.Golub,B.Bahmani,2012,kamvar04,pagerank_algebra,bahmani12,
S.Kamvar,R.Kumar,2012,kamvar04,pagerank_algebra,bahmani12,
T.Haveliwala,R.Kumar,2012,kamvar04,pagerank_algebra,bahmani12,
G.Golub,R.Kumar,2012,kamvar04,pagerank_algebra,bahmani12,
S.Kamvar,M.Mahdian,2012,kamvar04,pagerank_algebra,bahmani12,
T.Haveliwala,M.Mahdian,2012,kamvar04,pagerank_algebra,bahmani12,
G.Golub,M.Mahdian,2012,kamvar04,pagerank_algebra,bahmani12,
S.Kamvar,E.Upfal,2012,kamvar04,pagerank_algebra,bahmani12,
T.Haveliwala,E.Upfal,2012,kamvar04,pagerank_algebra,bahmani12,
G.Golub,E.Upfal,2012,kamvar04,pagerank_algebra,bahmani12,
L.Katz,P.Grindrod,2013,katz53,katz_centrality,grindrod13,
L.Katz,D.Higham,2013,katz53,katz_centrality,grindrod13,
P.Grindrod,P.Grindrod,2013,grindrod11,katz_centrality,grindrod13,
D.Higham,P.Grindrod,2013,grindrod11,katz_centrality,grindrod13,
M.Parsons,P.Grindrod,2013,grindrod11,katz_centrality,grindrod13,
E.Estrada,P.Grindrod,2013,grindrod11,katz_centrality,grindrod13,
P.Grindrod,D.Higham,2013,grindrod11,katz_centrality,grindrod13,
D.Higham,D.Higham,2013,grindrod11,katz_centrality,grindrod13,
M.Parsons,D.Higham,2013,grindrod11,katz_centrality,grindrod13,
E.Estrada,D.Higham,2013,grindrod11,katz_centrality,grindrod13,
