%%EvolvingGraph directed
i,j,timestamps,t2,p2,p1,t1
ijiri,ben-israel,1,1963,generalized inverse and the bott-duffin network analysis,on the generalized inverse of an incidence matrix,1965,
ijiri,charnes,1,1963,generalized inverse and the bott-duffin network analysis,on the generalized inverse of an incidence matrix,1965,
ijiri,ijiri,1,1963,a report on the machine computation of the generalized inverse of an arbitrary matrix,on the generalized inverse of an incidence matrix,1965,
ijiri,wersan,1,1963,an elimination method for computing the generalized inverse of an arbitrary matrix,on the generalized inverse of an incidence matrix,1965,
ijiri,penrose,1,1955,a generalized inverse for matrices,on the generalized inverse of an incidence matrix,1965,
ben-israel,ijiri,4,1965,on the generalized inverse of an incidence matrix,generalized inverses: theory and applications,2003,
ben-israel,rose,4,1976,a note on computing the drazin inverse,generalized inverses: theory and applications,2003,
ben-israel,sontag,4,1980,on generalized inverses of polynomial and other matrices,generalized inverses: theory and applications,2003,
bapat,Akbari,4,2007,on unimodular graphs,graphs and matrices,2010,
bapat,Kirkland,4,2007,on unimodular graphs,graphs and matrices,2010,
bapat,bapat,4,1996,incidence matrix games,graphs and matrices,2010,
bapat,tijs,4,1996,incidence matrix games,graphs and matrices,2010,
bapat,ijiri,4,1965,on the generalized inverse of an incidence matrix,graphs and matrices,2010,
strang,strang,4,1986,introduction to applied mathematics,inferring transactions from financial statements,2010,
strang,penrose,4,1955,a generalized inverse for matrices,inferring transactions from financial statements,2010,
strang,ijiri,4,1965,on the generalized inverse of an incidence matrix,inferring transactions from financial statements,2010,
plemmons,clifford,2,1961,the algebraic theory of semigroups,generalized inverses of boolean relation matrices,1971,
plemmons,preton,2,1961,the algebraic theory of semigroups,generalized inverses of boolean relation matrices,1971,
plemmons,ijiri,2,1965,on the generalized inverse for matrices,generalized inverses of boolean relation matrices,1971,
plemmons,penrose,2,1955,a generalized inverse for matrices,generalized inverses of boolean relation matrices,1971,
plemmons,plemmons,2,1970,a generalized inverse for matrices,generalized inverses of boolean relation matrices,1971,
plemmons,ponstein,2,1966,matrices in graph and network theory,generalized inverses of boolean relation matrices,1971,
plemmons,rhode,2,1965,generalized inverses of partitioned matrices,generalized inverses of boolean relation matrices,1971,
bevis,batigne,3,1978,further resutls on integral generalized inverses of integral matrices,integer generalized inverses of incidence matrices,1981,
bevis,hall,3,1978,further resutls on integral generalized inverses of integral matrices,integer generalized inverses of incidence matrices,1981,
bevis,katz,3,1978,further resutls on integral generalized inverses of integral matrices,integer generalized inverses of incidence matrices,1981,
bevis,ben-israel,3,1974,generalized inverses: theory and applications,integer generalized inverses of incidence matrices,1981,
bevis,greville,3,1974,generalized inverses: theory and applications,integer generalized inverses of incidence matrices,1981,
bevis,resh,3,1963,the inverse of a nonsingular submatrix of an incident matrix,integer generalized inverses of incidence matrices,1981,
bevis,seshu,3,1961,linear graphs and electrical networks,integer generalized inverses of incidence matrices,1981,
bevis,reed,3,1961,linear graphs and electrical networks,integer generalized inverses of incidence matrices,1981,
hall,batigne,3,1978,further resutls on integral generalized inverses of integral matrices,integer generalized inverses of incidence matrices,1981,
hall,hall,3,1978,further resutls on integral generalized inverses of integral matrices,integer generalized inverses of incidence matrices,1981,
hall,katz,3,1978,further resutls on integral generalized inverses of integral matrices,integer generalized inverses of incidence matrices,1981,
hall,ben-israel,3,1974,generalized inverses: theory and applications,integer generalized inverses of incidence matrices,1981,
hall,greville,3,1974,generalized inverses: theory and applications,integer generalized inverses of incidence matrices,1981,
hall,resh,3,1963,the inverse of a nonsingular submatrix of an incident matrix,integer generalized inverses of incidence matrices,1981,
hall,seshu,3,1961,linear graphs and electrical networks,integer generalized inverses of incidence matrices,1981,
hall,reed,3,1961,linear graphs and electrical networks,integer generalized inverses of incidence matrices,1981,
ijiri,ben-israel,3,1974,generalized inverses: theory and applications,cost-flow networks and generalized inverses,1980,
ijiri,greville,3,1974,generalized inverses: theory and applications,cost-flow networks and generalized inverses,1980,
ijiri,berge,3,1962,the theory of graphs and its applications,cost-flow networks and generalized inverses,1980,
chen,warshel,4,2007,j.chem. theo,a unified theoretical framework for fluctuating-charge models in atom-space and in bond-space,2008,
chen,kato,4,2007,j.chem. theo,a unified theoretical framework for fluctuating-charge models in atom-space and in bond-space,2008,
chen,pisliakov,4,2007,j.chem. theo,a unified theoretical framework for fluctuating-charge models in atom-space and in bond-space,2008,
chen,yu,4,2005,comp. phys. comm.,a unified theoretical framework for fluctuating-charge models in atom-space and in bond-space,2008,
